Latitude,Longitude,point
47.70326, 16.02447, RPT591
47.69931, 16.01959, RPT592
47.69972, 16.01887, RPT593
47.69714, 16.01532, RPT594
47.69718, 16.01512, RPT595
47.69636, 16.01264, RPT596
47.69655, 16.01225, RPT597
47.69634, 16.01202, RPT598
47.69741, 16.00745, RPT599
47.69369, 16.00111, RPT600
47.69344, 16.00057, RPT601
47.69203, 15.99647, RPT602
47.69195, 15.99625, RPT603
47.69045, 15.99261, RPT604
47.68924, 15.98948, RPT605
47.68965, 15.98969, RPT606
47.68949, 15.98871, RPT607
47.68787, 15.98400, RPT608
47.68780, 15.98234, RPT609
47.68639, 15.97564, RPT610
47.68280, 15.97073, RPT611
47.68084, 15.96562, RPT612
47.68061, 15.96522, RPT613
47.68024, 15.95895, RPT614
47.67849, 15.95108, RPT615
47.67704, 15.94256, RPT616
47.67538, 15.93980, RPT617
47.67614, 15.93667, RPT618
47.67564, 15.93643, RPT619
47.67558, 15.93636, RPT620
47.67538, 15.93612, RPT621
47.67511, 15.93605, RPT622
47.67154, 15.93242, RPT623
47.67148, 15.93188, RPT624
47.67099, 15.93144, RPT625
47.66670, 15.92815, RPT626
47.66627, 15.92789, RPT627
47.66290, 15.92090, RPT628
47.66281, 15.92062, RPT629
47.65866, 15.90414, RPT630
47.65187, 15.86924, RPT631
47.64754, 15.87276, RPT632
47.64711, 15.87176, RPT633
47.63853, 15.88106, RPT634
47.64190, 15.86964, RPT635
47.64214, 15.86839, RPT636
47.64140, 15.84692, RPT637
47.64093, 15.84584, RPT638
47.63983, 15.84588, RPT639
47.63813, 15.84439, RPT640
47.63662, 15.84314, RPT641
47.63349, 15.84295, RPT642
47.63110, 15.84047, RPT643
47.63289, 15.83024, RPT644
47.63282, 15.82989, RPT645
47.63220, 15.83002, RPT646
47.62580, 15.81269, RPT647
47.61836, 15.77711, RPT648
47.61718, 15.77272, RPT649
47.61571, 15.76936, RPT650
47.61579, 15.76927, RPT651
47.61599, 15.75422, RPT652
47.61605, 15.75405, RPT653
47.61519, 15.75095, RPT654
47.61537, 15.75002, RPT655
47.61526, 15.74962, RPT656
47.61432, 15.74887, RPT657
47.61427, 15.74817, RPT658
47.61380, 15.74839, RPT659
47.60158, 15.72793, RPT660
47.60110, 15.72583, RPT661
47.60132, 15.72386, RPT662
47.60449, 15.71126, RPT663
47.60451, 15.71117, RPT664
47.60501, 15.71015, RPT665
47.60548, 15.70428, RPT666
47.60541, 15.70434, RPT667
47.60510, 15.70425, RPT668
47.60464, 15.70320, RPT669
47.60476, 15.70148, RPT670
47.60666, 15.68733, RPT671
47.60748, 15.68695, RPT672
47.60692, 15.67794, RPT673
47.60688, 15.67590, RPT674
47.60668, 15.67421, RPT675
47.60666, 15.67420, RPT676
47.60674, 15.67177, RPT677
47.60682, 15.67171, RPT678
47.60645, 15.66901, RPT679
47.60702, 15.66859, RPT680
47.60699, 15.66852, RPT681
47.59564, 15.66250, RPT682
47.59554, 15.66284, RPT683
47.58293, 15.64572, RPT684
47.57776, 15.63705, RPT685
47.57255, 15.62836, RPT686
47.57202, 15.62847, RPT687
47.57169, 15.62794, RPT688
47.57130, 15.62214, RPT689
47.57143, 15.62212, RPT690
47.56890, 15.61923, RPT691
47.56802, 15.61801, RPT692
47.56754, 15.61843, RPT693
47.56593, 15.61439, RPT694
47.56593, 15.61260, RPT695
